"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","reformattedtext"
"1184","Happy #ChineseNewYear from Tsingtao!
How are you welcoming the year of the #Rooster? 
#CNY2017 https://t.co/l10GarZ1EV",FALSE,8,NA,2017-01-27 12:31:03,FALSE,NA,"824957893900435456",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",3,FALSE,FALSE,NA,NA,"Happy #ChineseNewYear from Tsingtao!
How are you welcoming the year of the #Rooster? 
#CNY2017 https://t.co/l10GarZ1EV"
"1185","Are you longing for warmer weather? @marqyrobi gives us a #Throwback to sunnier times. https://t.co/dFUZWLoifk",FALSE,0,NA,2017-01-26 12:02:33,FALSE,NA,"824588335574380545",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Are you longing for warmer weather? @marqyrobi gives us a #Throwback to sunnier times. https://t.co/dFUZWLoifk"
"1186","A timeless reflection. #Tsingtao ������: @rojacaliente https://t.co/KvMu8sOR96",FALSE,1,NA,2017-01-24 12:02:43,FALSE,NA,"823863599231811584",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"A timeless reflection. #Tsingtao <ed><a0><bd><ed><b3><b8>: @rojacaliente https://t.co/KvMu8sOR96"
"1187","@cactusjohn66 Congrats! You are one of the winners in our contest. Please PM your email to us so we can send you your prize!",FALSE,1,"cactusjohn66",2017-01-24 08:41:43,FALSE,"816117439360565248","823813017959702528","264297731","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@cactusjohn66 Congrats! You are one of the winners in our contest. Please PM your email to us so we can send you your prize!"
"1188","It should be smooth sailing from here! ⛵️  #Tsingtao ������: @lengmon_ https://t.co/pO1Saj3Kqa",FALSE,6,NA,2017-01-23 12:01:25,FALSE,NA,"823500884315402242",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",2,FALSE,FALSE,NA,NA,"It should be smooth sailing from here! <e2><9b><b5><ef><b8><8f>  #Tsingtao <ed><a0><bd><ed><b3><b8>: @lengmon_ https://t.co/pO1Saj3Kqa"
"1189","Solid wall of Tsingtao! ������ : Danish Adventurer https://t.co/38xa2cAHyc",FALSE,7,NA,2017-01-19 12:01:12,FALSE,NA,"822051278037643264",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"Solid wall of Tsingtao! <ed><a0><bd><ed><b3><b7> : Danish Adventurer https://t.co/38xa2cAHyc"
"1190","Spotted in #Paris! Where to next? https://t.co/BrvWVR4DXr",FALSE,1,NA,2017-01-18 15:01:55,FALSE,NA,"821734371090694144",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Spotted in #Paris! Where to next? https://t.co/BrvWVR4DXr"
"1191","When you don’t have access to a beach, a pool does the trick!
With love, from Fiji. ������ : @fijibabe4 https://t.co/RuTkjPz640",FALSE,5,NA,2017-01-18 09:19:41,FALSE,NA,"821648246032441345",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"When you don<e2><80><99>t have access to a beach, a pool does the trick!
With love, from Fiji. <ed><a0><bd><ed><b3><b7> : @fijibabe4 https://t.co/RuTkjPz640"
"1192","When you don’t have access to a beach, a pool does the trick!
With love, from Fiji. ������ : @fijibabe4 https://t.co/wdwwyF3Ebe",FALSE,6,NA,2017-01-18 09:15:07,FALSE,NA,"821647095358717952",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"When you don<e2><80><99>t have access to a beach, a pool does the trick!
With love, from Fiji. <ed><a0><bd><ed><b3><b7> : @fijibabe4 https://t.co/wdwwyF3Ebe"
"1193","@wasabisucks Hit up our Wechat account!",FALSE,3,"wasabisucks",2017-01-18 04:26:34,FALSE,"821262329811607553","821574480401076224","3187558453","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",4,FALSE,FALSE,NA,NA,"@wasabisucks Hit up our Wechat account!"
