"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"72"," Let's goooo! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"KerriganBrian","budlight",1,2017-10-22 18:55:05,"Sun"
"73"," Touchdown",1,"King_Hamers1","budlight",1,2017-10-22 18:52:07,"Sun"
"74"," That�s a touchdown worth celebrating!",1,"steve_markham","budlight",1,2017-10-22 18:50:43,"Sun"
"75"," We�re getting fired up! Touchdown",2,"jfpbear","budlight",1,2017-10-22 18:49:53,"Sun"
"76"," They're looking <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>.",1,"VillaLove502","budlight",0,2017-10-22 18:34:22,"Sun"
"77"," Cheers!",1,"nickgranillo","budlight",1,2017-10-22 18:31:31,"Sun"
"78"," We're with ya, let's do this!",1,"nickgranillo","budlight",0,2017-10-22 18:26:53,"Sun"
"79"," It�s gonna be epic.",0,"mattmendez26","budlight",0,2017-10-22 18:22:59,"Sun"
"80"," Second half is when it counts!",1,"PharaohIzzy","budlight",1,2017-10-22 18:21:04,"Sun"
"81"," That deserves a cold one!",0,"jmizzal","budlight",0,2017-10-22 18:16:31,"Sun"
"82"," He made it look easy!",1,"kelseyraeOKAY","budlight",0,2017-10-22 18:11:13,"Sun"
"83"," Your setup looks <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>. Cheers!",0,"RatKing23","budlight",0,2017-10-22 18:06:55,"Sun"
"84"," That deserves a cold one! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",2,"RantyAmyCurtis","budlight",1,2017-10-22 18:01:41,"Sun"
"85"," We�ll cheers to that!",3,"ZeskS","budlight",1,2017-10-22 17:59:25,"Sun"
"86"," They're doing it all today!",1,"BearsFan278","budlight",0,2017-10-22 17:55:56,"Sun"
"87"," Definitely. Let�s keep it up! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"aalencastro","budlight",0,2017-10-22 17:50:51,"Sun"
"88"," They�re looking good so far.",0,"RatKing23","budlight",0,2017-10-22 17:49:17,"Sun"
"89"," We�re getting fired up! Touchdown",0,"The_Right_Rout","budlight",0,2017-10-22 17:48:32,"Sun"
"90"," He's on <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>.",1,"bitty_boop","budlight",0,2017-10-22 17:46:54,"Sun"
"91"," That deserves a beer! TouchDown",1,"Mekalife24","budlight",1,2017-10-22 17:44:10,"Sun"
"92"," Keep feeding that man!",1,"MrStanLeeCup","budlight",0,2017-10-22 17:42:51,"Sun"
"93"," We're with ya, let's do this!",1,"Amie_To_A_T","budlight",1,2017-10-22 17:33:01,"Sun"
"94"," Nothing beats being there IRL.",1,"N_Furn","budlight",1,2017-10-22 17:31:07,"Sun"
"95"," We'll drink to that!",6,"Greenway53","budlight",1,2017-10-22 17:30:02,"Sun"
"96"," Teamwork makes the dream work!",0,"itsdmoore","budlight",0,2017-10-22 17:26:41,"Sun"
"97"," You know where to find us. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"Da1ThomasG","budlight",0,2017-10-22 17:25:35,"Sun"
"98"," This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"StanShady8","budlight",0,2017-10-22 17:24:35,"Sun"
"99"," Cheers to the offense being as strong as your selfie game!",0,"emshrock","budlight",0,2017-10-22 17:19:32,"Sun"
"100"," It�s gonna be epic!",0,"Da1ThomasG","budlight",0,2017-10-22 17:16:29,"Sun"
"101"," Grab a cold one, they're just getting started.",0,"itsdmoore","budlight",0,2017-10-22 17:13:41,"Sun"
"102"," They�re on <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>.  Touchdown",2,"draegerjeff","budlight",1,2017-10-22 17:12:24,"Sun"
"103"," They made that look easy...",1,"Amie_To_A_T","budlight",0,2017-10-22 17:10:53,"Sun"
"104"," She�s definitely a cool mom.",12,"ChrisMWilliams","budlight",1,2017-10-21 20:25:22,"Sat"
"105"," Just let it happen.",11,"patmccormick21","budlight",3,2017-10-21 20:22:45,"Sat"
"106","  ",1,"CravensisaDawg","budlight",1,2017-10-21 20:22:01,"Sat"
"107"," Trust us Sir Blake, it shall bring you good fortune.",49,"bsingII","budlight",3,2017-10-21 19:59:13,"Sat"
"108"," A DillyDilly is well-deserved for this choice of beverage.",1,"maestroP17","budlight",0,2017-10-21 19:58:01,"Sat"
"109"," Dilly Dilly!",244,"NazzyJML","budlight",44,2017-10-21 18:21:08,"Sat"
"110","   DILLY DILLY!",3,"TheeTedSmith","budlight",0,2017-10-21 02:35:18,"Sat"
"111"," Bud Lights are chilly, so raise one up and say DillyDilly",2,"D_Hoov3","budlight",1,2017-10-20 23:51:50,"Fri"
"112"," It�s definitely a thing. DillyDilly",0,"dbt8819","budlight",1,2017-10-20 23:35:23,"Fri"
"113"," Please follow Sir Brad...for some ice cold Bud Lights! DillyDilly",1,"chi_bears4life","budlight",0,2017-10-20 23:32:10,"Fri"
"114"," Back �atcha. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> DillyDilly",2,"Steve_Aversano","budlight",1,2017-10-20 22:29:18,"Fri"
"115","  ",0,"lucie_leone","budlight",0,2017-10-20 22:28:22,"Fri"
"116"," Trust us Sir Markle, it shall bring you good fortune. DillyDilly",20,"Marky_Mark54","budlight",4,2017-10-20 22:24:35,"Fri"
"117"," You've earned an A+. Dilly Dilly!",1,"Alex_Janson7","budlight",1,2017-10-20 19:22:04,"Fri"
